hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.28220247 0.38675227],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5,0.6666666666666666,0.9583333333333334,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 1.71076641e+00 -1.90841221e+00 -2.40925648e+00  8.56200899e-02
  8.41277615e-01 -4.35220604e-01 -3.75494887e+00  5.75771642e-01
  2.31519159e-01  2.71793686e+00  8.13031600e-04 -1.03034827e+01]","[-0.22051778  1.60834075  0.29781429 -0.21355073  1.79999927  0.42262038
 -0.70549808  1.79990079  0.74999642 -0.14379889  1.79999999  0.25      ]",17.480909887000003
[0.29949686 0.39017296],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5,0.7083333333333334,0.9583333333333334,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 1.58566518e+00 -1.39116885e+00 -2.24486452e+00  1.16236432e-01
  1.92372107e-01 -8.33800187e-02  9.32000832e-01  5.36211473e-01
 -1.75803868e+00  2.63468998e+00  4.42552094e-04 -1.67644416e+00]","[-0.2128152   1.60882613  0.28498983 -0.18268371  1.65861087  0.47664852
 -0.3018661   1.66455607  0.34784546 -0.13048247  1.79996627  0.27237825]",14.836637010999993
[0.28585703 0.38771975],0.16684077234311057,0.375,0.4583333333333333,0.9583333333333334,0.5833333333333334,0.75,0.9583333333333334,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 1.43586060e+00 -1.84998947e+00 -1.65480507e+00 -7.63999113e-01
  3.18887117e-01  5.46824374e-01 -2.82650471e+00 -5.04726368e-01
  3.44966085e-01  2.91788405e+00  8.22644437e-04 -1.55784546e+00]","[-0.23454679  1.5957526   0.3348505  -0.28096242  1.69436316  0.74999998
 -0.65946201  1.40002334  0.74984094 -0.1442563   1.79999997  0.25000035]",12.211709877000004
[0.28638018 0.38789454],0.16684077234311057,0.375,0.4583333333333333,0.9583333333333334,0.5833333333333334,0.8333333333333334,1.0,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[-6.29228632e-02 -1.24426626e+00 -3.67108749e-02 -3.54124048e-01
  5.22384018e-01  8.90815191e-01 -4.00316915e-01  5.61983644e-01
  1.75039250e-01  2.88341957e+00  7.70859030e-04 -1.56754181e+00]","[-0.29092866  1.58188659  0.42670714 -0.30796941  1.73023242  0.73649447
 -0.58652994  1.79999556  0.70859355 -0.14150737  1.79999999  0.2626614 ]",14.831006443000021
[0.28919679 0.38797437],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.625,0.8333333333333334,1.0,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 8.50949012e-01 -1.02131831e+00 -1.14308056e+00 -1.22400904e-01
 -2.76042197e-04  8.15740384e-01  5.49770035e-02  4.58400550e-01
 -4.17423116e-01  3.16197695e+00  8.25778906e-04 -1.55339736e+00]","[-0.23554507  1.61098349  0.33085785 -0.3067279   1.61685045  0.70806759
 -0.4238724   1.74865477  0.47856145 -0.15006031  1.79999994  0.25000069]",17.199087562999978
[0.30358284 0.39086727],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5416666666666666,0.75,0.875,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 5.83543146e-01 -2.02397993e+00 -1.04305015e+00  1.05937327e+00
  3.84650157e-01 -7.59323870e-01  3.32125110e-02  5.29303702e-02
 -4.03722857e-01  3.06987637e+00  7.80013335e-04 -1.49052107e+00]","[-0.25272715  1.57218969  0.3438396  -0.14203803  1.65759836  0.30216135
 -0.43229704  1.61532652  0.51245206 -0.14774197  1.8         0.25000001]",11.977386397000004
[0.2903949  0.38856745],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5,0.6666666666666666,0.9583333333333334,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 1.04311727e+00 -1.91526834e+00 -1.54670870e+00  1.32444665e+00
 -6.81881870e-02 -5.06887045e-01  1.94380300e+00  3.22903087e-01
 -1.01784277e+00  2.12259403e+00  6.73109536e-04 -1.52316385e+00]","[-0.22526718  1.56770342  0.30131441 -0.12313951  1.60870622  0.25464464
 -0.24519214  1.62783079  0.25950233 -0.14890146  1.79999701  0.25000001]",17.74789513600001
[0.29380557 0.38917172],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5416666666666666,0.7083333333333334,1.0,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[-1.47526129e-01 -1.72219367e+00 -1.48852191e-01  8.17754698e-01
  7.32385411e-01 -7.39607871e-01 -3.13138221e+00  6.44723087e-01
  2.66028882e-01  2.27663872e+00  3.26119807e-03 -6.66965265e+00]","[-0.29886683  1.54730638  0.41285956 -0.16274746  1.77984561  0.30332343
 -0.64591612  1.79997807  0.74999438 -0.16983679  1.79999999  0.25      ]",14.825805360000004
[0.29538824 0.38929156],0.16700114761906837,0.375,0.4583333333333333,0.9583333333333334,0.5,0.75,1.0,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 6.31506325e-01 -1.44486022e+00 -8.83490688e-01  5.15336019e-02
  8.51266922e-02  7.30153333e-02 -5.69179345e-02  1.39485637e-01
 -2.86975648e-03  2.44967023e+00  7.65047513e-04 -1.52479209e+00]","[-0.24024898  1.58523389  0.34022563 -0.20297585  1.64346596  0.52666767
 -0.51886934  1.6320723   0.63557596 -0.15147551  1.8         0.25000074]",14.475794441999994
[0.2871397  0.38799834],0.16684077234311057,0.375,0.4583333333333333,0.9583333333333334,0.5833333333333334,0.75,1.0,"[ 5.45577504e-01 -1.28463162e+00 -9.40013334e-01 -3.93704483e-01
  3.42565777e-01  9.21049894e-01 -6.01246528e-02  3.74287397e-01
 -2.96655423e-01  2.38100241e+00  8.05057126e-04 -4.45718343e+00]","[-0.2534136   1.60106485  0.35004764 -0.30832896  1.74439937  0.73453465
 -0.48131355  1.68536978  0.55582904 -0.15133822  1.79999999  0.25000001]","[ 0.23574067 -0.9244626  -0.41880767  0.01147775  0.23518276 -0.04130497
 -0.0537489   0.60565393 -0.32370564  2.30182008  0.00260681 -1.56552533]","[-0.26538787  1.598603    0.37965445 -0.2159897   1.6970847   0.49054746
 -0.4628058   1.7992158   0.51847345 -0.15721399  1.79999998  0.25000013]",17.656288585000027
